2003-12 , 1
2003-10 , 4
2003-11 , 3
2014-09 , -1
1980-12 , 1
2014-05 , 2
2007-05 , 5
2014-07 , -2
2014-06 , 0
2014-01 , 2
2001-12 , 2
2014-02 , 1
1987-05 , 1
1987-04 , 1
1987-07 , 1
2010-02 , 0
2013-08 , 6
2010-04 , 2
2002-08 , 2
2010-06 , 1
2010-09 , 0
2002-07 , 1
2013-06 , 0
2013-07 , 0
2002-02 , 5
2002-03 , 1
2013-02 , 0
2002-01 , 6
1972-01 , 1
2000-01 , 5
2000-02 , 2
2000-03 , 1
2000-04 , 3
2000-05 , 2
2000-06 , 3
1998-01 , 3
1988-10 , 1
2004-12 , -5
2004-11 , 2
2004-10 , -1
2009-03 , 0
2012-04 , 0
2005-06 , 3
2015-06 , 1
2015-07 , 1
2015-04 , -2
1980-07 , 1
2015-02 , 1
1980-01 , 1
2015-01 , 1
2014-12 , -3
2001-10 , 3
2014-10 , 3
2014-11 , -1
2011-11 , 4
2011-12 , -4
2012-09 , -3
2012-08 , -1
2014-03 , 1
2012-03 , -4
2012-02 , -1
2012-01 , 0
1985-04 , 1
2012-07 , -1
2012-06 , -1
2012-05 , -3
2004-05 , 4
2010-01 , 2
2015-05 , 5
2000-09 , 2
1986-06 , 1
1986-04 , 1
1988-07 , 2
1989-06 , 1
2005-05 , 7
2004-04 , 4
1988-04 , 1
2004-06 , -3
2016-04 , -1
2016-03 , -1
2004-01 , 3
2004-02 , 5
2004-03 , -4
2010-05 , 9
2009-08 , 1
2004-08 , -1
2004-09 , -2
2016-08 , 1
2011-08 , 1
2010-07 , 4
1979-01 , 1
2011-02 , 3
2011-03 , -3
2002-09 , 2
2011-06 , 0
2011-07 , -2
2011-04 , 2
2011-05 , 2
2013-04 , -3
2007-02 , 1
2010-08 , 0
2012-10 , -1
2012-11 , -7
2012-12 , -4
1985-10 , 1
2002-04 , 2
2015-03 , 1
2007-09 , -2
2007-08 , -2
2002-05 , 5
2006-11 , -3
2006-10 , -1
2016-06 , -1
2007-01 , 6
1989-11 , 1
2007-03 , 2
2003-02 , 3
1970-07 , 1
2007-04 , -1
2007-07 , 6
2007-06 , 2
2005-03 , 6
2005-02 , 3
2005-01 , 4
2004-07 , 4
2005-07 , 2
1968-07 , 1
2016-12 , -1
2005-04 , 4
2015-11 , -1
2005-09 , 2
2005-08 , 2
2016-02 , 3
2016-01 , 2
2002-06 , 5
2003-09 , 2
2003-08 , 2
1990-07 , 1
2006-07 , 2
2007-12 , -2
1990-03 , 1
1990-02 , 1
2017-03 , 2
2006-02 , 1
2006-03 , 4
1991-12 , 1
2006-06 , -1
2007-10 , 2
2006-04 , -3
2006-05 , 4
2008-12 , -1
2006-08 , 0
2006-09 , -2
2010-10 , 0
2005-10 , 1
2005-11 , 1
2005-12 , -3
2014-08 , 1
2008-01 , 4
1997-04 , 1
2016-10 , 2
1997-06 , 1
1997-07 , 2
1997-01 , 3
1997-03 , 1
2010-11 , 2
2007-11 , 7
1997-08 , 1
1997-09 , 4
1990-12 , 1
1990-10 , 1
2013-03 , 0
1992-09 , 1
1992-07 , 1
1992-05 , 1
1992-04 , 1
1992-03 , 1
1981-06 , 1
2008-08 , 1
2008-09 , -1
1991-06 , 2
1991-07 , 1
2008-02 , -2
1991-05 , 1
2008-04 , 3
2008-05 , 2
2008-06 , -7
1991-01 , 3
1993-12 , 1
1993-10 , 2
2009-09 , 1
2008-07 , -1
2016-05 , 2
1996-03 , 1
1996-02 , 1
1996-01 , 2
2011-01 , 2
1996-07 , 1
1996-06 , 2
1996-05 , 1
1996-04 , 3
1996-08 , 4
2014-04 , 2
2006-01 , 4
1998-09 , 2
1998-08 , 1
1998-05 , 2
1998-04 , 2
1998-07 , 4
1992-10 , 2
1998-03 , 1
1998-02 , 1
2015-10 , 1
1999-11 , 1
1999-10 , 1
1999-12 , 1
1993-01 , 3
1993-04 , 1
1993-05 , 1
1993-06 , 1
2016-07 , -2
2008-11 , 0
2013-05 , -2
1996-10 , 1
1996-11 , 1
1996-12 , 1
2008-10 , 0
1999-06 , 1
1999-07 , 1
1999-04 , 1
2009-07 , 5
1999-02 , 1
1999-03 , 2
1999-01 , 4
1998-12 , 1
2008-03 , 2
1998-10 , 1
1998-11 , 1
1999-08 , 2
1999-09 , 1
2015-12 , -3
2016-11 , 1
2017-11 , 1
nan , -351
1994-09 , 1
2009-06 , 1
2009-05 , -3
2009-04 , -3
1995-11 , 1
2009-02 , 0
2009-01 , 2
2003-03 , 3
2009-10 , -1
2013-01 , 2
1994-02 , 1
1994-05 , 1
1994-04 , 2
1994-07 , 3
1994-06 , 1
2003-05 , 3
2003-04 , 5
2003-07 , 2
2003-06 , 2
2003-01 , 5
2009-12 , 4
2001-09 , 5
2001-08 , 4
2001-07 , 2
2001-06 , 3
2001-05 , 3
2001-04 , 2
2001-03 , 5
2001-02 , 4
2001-01 , 6
2002-11 , 3
2002-10 , 3
2011-09 , -1
2015-09 , -2
2013-12 , 0
2013-11 , 2
2013-10 , 1
2000-12 , 1
2000-10 , 1
1994-12 , 2
1994-11 , 1
2017-01 , 0
2006-12 , 3
1995-02 , 2
2010-03 , -2
1995-06 , 2
2009-11 , -8
1995-04 , 1
2010-12 , 1
